message,label
Congratulations! You won a FREE iPhone 6. Click here now: http://click.me,spam
You are a lucky winner! Claim your prize of £1000 NOW,spam
BUY CHEAP MEDICATIONS NOW - No prescription needed! Fast delivery,spam
URGENT: Verify your PayPal account NOW or it will be closed,spam
Click here to claim your FREE Samsung Galaxy S20! Limited offer,spam
You have been selected to receive $5000. Reply NOW with your bank details,spam
HOT GIRL NEAR YOU! Click here to chat: http://xxx.com,spam
Get rich quick! Earn $5000/week working from home,spam
Your account will be suspended unless you verify now: http://fake.bank,spam
Weight Loss Pill BREAKTHROUGH! Lose 50lbs in 2 weeks. Order today!,spam
FREE MONEY TRANSFER! Send us $100 and receive $1000 back,spam
Click here to download free movies and games - NO virus guaranteed,spam
Your tax refund is ready! Claim it here: http://irs.fake,spam
"Viagra, Cialis, Levitra - buy online NO prescription needed",spam
WORK FROM HOME - No experience needed! $5000/month guaranteed,spam
LIMITED TIME OFFER! 70% OFF everything. Buy NOW http://sale.com,spam
You have 1 hour to claim this offer before it expires!,spam
Click here now to participate in our exclusive survey and win!,spam
"Our customer service is struggling. Take survey, get $50!",spam
Last chance to take advantage of these amazing deals!,spam
"Hey, how are you doing today?",ham
Thanks for the update. See you tomorrow at the meeting.,ham
I'll call you later this evening to discuss the project.,ham
Meeting rescheduled to 2pm tomorrow. Please confirm.,ham
Your appointment is confirmed for Dec 15 at 3pm.,ham
Just checking in - how's everything going?,ham
Can you send me the report by end of day?,ham
Great work on the presentation! Really impressed.,ham
Are you free for coffee this weekend?,ham
Update: We're implementing the new system next week.,ham
Your package has been delivered. Signature required.,ham
Thanks for your help with this. Really appreciated!,ham
I'm running 15 minutes late. See you soon.,ham
The files are ready. Download them from the shared folder.,ham
Let's catch up soon. It's been too long!,ham
"Ok, see you at 5.",ham
Thanks!,ham
Sounds good to me.,ham
"I agree, let's do it.",ham
Call me when you get a chance.,ham
What time works for you?,ham
Looking forward to it!,ham
"Got it, thanks for letting me know.",ham
Will do!,ham
See you there!,ham
"Perfect, thanks.",ham
On my way.,ham
Confirmed.,ham
Understood.,ham
All good here.,ham
